hour,day,temperature,humidity,energy_usage
0,0,10.993428306022466,74.8570617883618,118.14036021281726
1,0,12.311661848682839,62.84222342244577,136.32767245859685
2,0,16.295377076201383,61.38274224181356,151.49258313195023
3,0,20.117127524681525,67.03668471407663,182.61594217448408
4,0,18.191947288397714,59.67831176310417,159.54500017246355
5,0,19.190984348992323,52.900521982281596,186.44096642757165
6,0,23.158425631014783,55.07813941997235,198.02713080296192
7,0,21.1941277211965,45.76091600839414,197.7623379360341
8,0,17.721305265974486,40.262286934447225,178.9548390719563
9,0,18.156187899037405,39.757007580044295,179.70367557158437
10,0,14.073164614375075,30.803946949593406,162.7351219772113
11,0,11.656730943884696,38.5240784015814,145.65507741509688
12,0,10.48392454313207,26.05976188383496,137.7455876408067
13,0,3.585249059659196,33.966128805929074,103.5289860969374
14,0,1.5501643349739371,39.848656117610446,77.40414049817053
15,0,1.8043571296525835,28.97138692990854,87.43837150481255
16,0,-0.6859162785132296,38.283324120737745,72.94835213058198
17,0,0.9692364022998631,50.53465606237738,74.89468361549937
18,0,-1.8160481510424218,55.78622273865512,55.330592116767335
19,0,-2.4838656655612676,54.31890290010921,48.79499976946969
20,0,4.271043499998722,56.3266445316157,89.0151800881849
21,0,2.4773795871614515,68.92181473538476,67.50809156065564
22,0,5.135056409375844,73.23825358859679,92.81320062132538
23,0,4.56231317654787,63.49519978321939,88.05242105260614
0,1,8.911234550949635,63.9804317551681,104.86782840613431
1,1,12.81003563044494,70.44479993569938,125.44255129531746
2,1,12.698012845155395,70.46731124283322,133.4746267887583
3,1,17.82246384855682,62.64679019758068,165.55911831248952
4,1,17.458976658006776,63.39646909991175,174.10518620267786
5,1,19.07587076330413,51.62569786786351,174.03326645740844
6,1,18.796586775541208,39.426532004631326,184.46697887191004
7,1,23.36381463190856,42.70411373628661,199.8291675188799
8,1,18.63325958836852,40.316160732565514,179.20519734733725
9,1,14.955645953953674,34.47866457678677,173.02982544358716
10,1,16.645089824206377,26.886475606013803,169.10053020224504
11,1,10.146503151083165,21.603238594824543,145.45429902936795
12,1,10.417727190009513,27.42955597816051,140.33839475603926
13,1,3.4924693012152406,35.16976233246735,97.16841775702628
